Temp,H,CO_2,Rsun,Tout,Hout,CO2out,Vwind,CO2dos,Lamp,LS,ES,WL,WW,Tp
17.938,82.2,439,0.4,16,83.6,421.7,4,0,33.3,0,30,57.662,2.575,38.375
18.887,75.813,496.5,0.2,15.6,83.6,415,3.8,275,100,0,30,99.9,15.137,40.3
19.025,75.913,524.5,0.4,15.7,83.6,419.9,4.1,317.4,100,0,30,99.4,15.913,40.425
19.163,75.938,559.5,0.2,15.7,83,419.9,3.9,491.3,100,0,30,100,18.413,40.475
18.912,76.388,652.5,0.4,15.3,81.2,421.1,4.2,489.3,100,0,30,90.475,8.2375,41.8
19.35,75.388,726,0.3,15.2,80,429.7,4.5,748.2,100,0,30,76.4,4.1375,42.575
20.087,77.025,887,0.2,15,79.9,433.3,4.1,928.8,100,0,30,40.688,2.675,43.075
19.725,76.212,836,0.2,14.9,81.2,433.9,4,869.9,100,0,30,75.025,2.05,43.1
20.35,75.475,893,8,15.1,79.3,430.9,3.7,1134.3,66.7,0,0,61.3,1.9,42.175
21.675,75.212,929.5,90.1,15.6,78.7,437,4.2,705.5,100,0,0,53.225,1.8875,43.4
21.762,77.737,972,85.6,15.7,79.3,427.8,4.7,268.4,66.7,0,0,26.463,2.05,42.775
22.713,77.4,909.5,135.9,16.2,78.7,450.5,4.8,1196.1,66.7,0,0,34.2,2.075,42.025
23.088,74.525,981,163.5,16.7,77.5,423.6,4.9,1289.7,66.7,0,0,46.675,1.875,40.175
22.475,76.788,1029.5,167.3,17,76.1,435.2,4.7,979.1,33.3,0,0,33.225,2.15,41.575
23.1,72.85,994.5,276,17.7,72.4,437,5.5,1075.4,0,0,0,52.762,1.975,39.375
23.225,73.362,1003,292.1,18.1,70.6,443.8,5.4,600.1,0,0,0,52.887,2.0125,39.5
22.113,72.9,813,134.2,18.4,69.2,468.8,4.7,918.7,33.3,0,0,37.837,2.075,40.2
21.587,79.862,992.5,48.4,17.2,79.3,455.4,4.5,1021.6,33.3,0,0,23.575,2.0375,39.825
21.075,78.688,887,20.5,16.3,88.7,455.4,4.6,1072.2,66.7,0,0,3.75,0,40.15
20.763,77.75,893.5,6,17,83.8,448.7,4.6,853.1,66.7,0,0,58.75,1.9875,40.125
19.213,79.25,431.5,0.3,17,83.8,445.6,4.6,0,0,0,0,93.975,1.9875,41.525
18,82.55,433,0.1,16.8,85.2,448.7,4.6,0,0,0,0,83.587,1.9875,43.55
17.362,82,427,0.3,16,82,422.9,5.9,0,0,0,0,52.2,1.95,41.8
17.613,80.7,439,0.2,15,83.2,423.6,5.6,100.8,100,0,0,56.1,1.9875,39.45
18.438,78.75,418.5,0.3,15.2,83.6,425.4,4.7,0,100,0,30,90.162,10.988,42.025
18.638,77.337,496,0.2,14.7,85.4,427.8,3.3,269.5,100,0,30,99.638,21.6,41.175
18.3,76.975,508.5,0.2,14.5,84.2,444.4,2.6,323.2,100,0,30,97.675,15.225,41.125
18.238,77.513,543,0.3,14.3,83.6,427.8,3.4,492.7,100,0,30,94.3,10.988,41.625
18.212,77.175,622.5,0.2,14,81.8,434.5,3.1,598.6,100,0,30,89.7,10.125,41.875
18.588,75.662,616,0.3,15,78.7,418.1,3.5,743.5,100,0,30,100,13.3,41.4
19.587,79.263,852,0.2,14.7,84.4,427.8,3.9,970.7,100,0,30,44.537,1.075,42.625
19.475,77.987,828,0.3,14.9,84.4,421.1,3.5,916.4,100,0,30,95.688,2.3125,42
19.625,74.525,762.5,0.8,15.1,78.3,426,3.9,1077.7,66.7,0.066667,0,86.875,10.487,40.825
